,FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
0,7781023.txt,https://lt27.de/zzmtdp,21,lt27.de,7,0,de,38.36734694,1.0,0.0326503,0.03429037,2,0,0,0,0.0,9,0.429,2,0.095,0,0,0,2,0.095,1,41,281,1,lt27zzmtd,0.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,0,7,0
1,mw182440.txt,http://www.how-to-how.club,25,www.how-to-how.club,19,0,club,73.46938776,0.4,0.0006227,0.052655355,4,1,0,0,0.0,11,0.44,0,0.0,0,0,0,3,0.12,0,2,35,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,mw37243.txt,http://www.globalnews.wikaba.com,31,www.globalnews.wikaba.com,25,0,com,72.54174397,0.647058824,0.5229071,0.054750525,3,2,0,0,0.0,18,0.581,0,0.0,0,0,0,2,0.065,0,16,50,1,globalnewswikaba,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100991.txt,https://www.pgcps.org,20,www.pgcps.org,13,0,org,100.0,1.0,0.0799628,0.053014519,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,1124,1078,1,pgcps,100.0,100.0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,12,1,8,57,0,29,1
4,128462.txt,https://www.sonypictures.de,26,www.sonypictures.de,19,0,de,100.0,1.0,0.0326503,0.054964305,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2952,36376,1,sonypictures,100.0,100.0,1,1,1,0,0,1,0,15,0,1,0,1,0,0,0,1,1,103,4,15,79,1,97,1
5,458797.txt,https://www.matec.ru,19,www.matec.ru,12,0,ru,100.0,1.0,0.0180132,0.070461192,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,1911,3433,1,matec,100.0,100.0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,33,5,13,91,13,5,1
6,7940009.txt,https://hzy0wm.codesandbox.io/,29,hzy0wm.codesandbox.io,21,0,io,47.32199118,0.722222222,0.0129268,0.048989497,2,1,0,0,0.0,18,0.621,1,0.034,0,0,0,2,0.069,1,18,3412,1,hzy0wmcodesandbox,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,2,0
7,8022448.txt,https://facebook-appeal-request-402bf.firebaseapp.com/,53,facebook-appeal-request-402bf.firebaseapp.com,45,0,com,33.73698336,0.365853659,0.5229071,0.053065413,3,1,0,0,0.0,37,0.698,3,0.057,0,0,0,5,0.094,1,108,8125,1,facebook-appeal-request-402bffirebaseapp,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8,880657.txt,https://www.grove-oxon.org.uk,28,www.grove-oxon.org.uk,21,0,uk,100.0,0.428571429,0.028555,0.060294041,2,2,0,0,0.0,13,0.464,0,0.0,0,0,0,3,0.107,1,1316,9381,1,grove-oxonorg,0.0,0.0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,12,22,29,181,12,218,1
9,mw130361.txt,http://www.ratkiriri.ga,23,www.ratkiriri.ga,16,0,ga,58.44017094,1.0,0.0002256,0.058041768,2,1,0,0,0.0,11,0.478,0,0.0,0,0,0,1,0.043,0,20,210,1,ratkiriri,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,621360.txt,https://www.hawaii.house,23,www.hawaii.house,16,0,house,100.0,1.0,3.06e-05,0.053800699,5,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,786,12963,1,hawaii,100.0,100.0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,27,11,14,129,2,125,1
11,8100951.txt,https://help-id-fb-2056228625.firebaseapp.com/,46,help-id-fb-2056228625.firebaseapp.com,37,0,com,45.38461538,0.666666667,0.5229071,0.036673037,3,1,0,0,0.0,22,0.478,10,0.217,0,0,0,6,0.13,1,2,1929,1,help-id-fb-2056228625firebaseapp,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
12,oph06330.txt,http://3edw.weebly.com/,23,3edw.weebly.com,15,0,com,49.90808824,0.727272727,0.5229071,0.049064887,3,1,0,0,0.0,12,0.522,1,0.043,0,0,0,3,0.13,0,13,87,1,3edwweebly,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,488480.txt,https://www.tataconsumer.com,27,www.tataconsumer.com,20,0,com,100.0,1.0,0.5229071,0.070142242,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,2932,2259,1,tatansumer,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,100,4,7,195,1,17,1
14,522020.txt,https://www.musicoscopio.com,27,www.musicoscopio.com,20,0,com,100.0,1.0,0.5229071,0.070310261,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,657,1182,1,musispio,0.0,0.0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,23,0,1,302,0,56,1
15,449789.txt,https://www.munsterrugby.ie,26,www.munsterrugby.ie,19,0,ie,100.0,1.0,0.0015878,0.048872427,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2076,3223,1,munsterrugby,100.0,100.0,1,1,1,0,0,1,0,2,0,1,1,0,1,1,0,0,1,33,21,58,202,0,278,1
16,8095225.txt,https://annazan-support.top/,28,annazan-support.top,19,0,top,62.60387812,0.533333333,0.0002752,0.056561259,3,0,0,0,0.0,17,0.607,0,0.0,0,0,0,3,0.107,1,13,73,1,annazan-support,100.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,755672.txt,https://www.ithacachildrensgarden.org,36,www.ithacachildrensgarden.org,29,0,org,100.0,1.0,0.0799628,0.060410827,3,1,0,0,0.0,23,0.639,0,0.0,0,0,0,1,0.028,1,1554,8047,1,ithacachildrensgarden,100.0,100.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,53,21,38,116,0,118,1
18,8077192.txt,https://bi9olbel654uin.web.app/,31,bi9olbel654uin.web.app,22,0,app,48.40100611,0.5,0.001502,0.039856372,3,1,0,0,0.0,16,0.516,4,0.129,0,0,0,3,0.097,1,10,101,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,163012.txt,https://www.templehealth.org,27,www.templehealth.org,20,0,org,100.0,1.0,0.0799628,0.060346559,3,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,2256,1483,1,templehealth,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,28,6,10,167,18,33,1
20,mw52158.txt,http://www.cloudns.eu,20,www.cloudns.eu,14,0,eu,76.03305785,1.0,0.0056158,0.060353841,2,1,0,0,0.0,8,0.4,0,0.0,0,0,0,1,0.05,0,2,29,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21261.txt,https://www.openldap.org,23,www.openldap.org,16,0,org,100.0,1.0,0.0799628,0.061845368,3,1,0,0,0.0,10,0.435,0,0.0,0,0,0,1,0.043,1,198,163,1,openldap,100.0,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,7,1
22,545725.txt,https://www.edocorganizer.com,28,www.edocorganizer.com,21,0,com,100.0,1.0,0.5229071,0.068118403,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,291,338,1,edorganizer,0.0,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,2,5,15,2,6,1
23,463360.txt,https://www.leddisplayrentals.net,32,www.leddisplayrentals.net,25,0,net,100.0,1.0,0.0384199,0.056101914,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,5917,2787,1,leddisplayrentals,100.0,100.0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,41,21,39,361,2,379,1
24,8075232.txt,http://www.amazceom-co-jp.amaczeon.tuozhi1.top/,47,www.amazceom-co-jp.amaczeon.tuozhi1.top,39,0,top,26.37641723,0.322580645,0.0002752,0.059332949,3,3,0,0,0.0,29,0.617,1,0.021,0,0,0,6,0.128,0,2,537,0,0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
25,mw59345.txt,http://www.donaldtheplwashington.com,35,www.donaldtheplwashington.com,29,0,com,58.25,1.0,0.5229071,0.056178111,3,1,0,0,0.0,23,0.657,0,0.0,0,0,0,1,0.029,0,2,490,1,donaldtheplwashington,100.0,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,446784.txt,https://www.curtisfurniture.co.uk,32,www.curtisfurniture.co.uk,25,0,uk,100.0,0.888888889,0.028555,0.056441745,2,2,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,580,572,1,crtisfrnitreco,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,24,2,12,60,0,8,1
